dataset,algorithm,mean_purity,num_neighbors,num_clusters,k,ci
wine,kharmonic_kmeans,0.5421348314606742,25,3,0.1,(0.47509359197482803, 0.6091760709465204)
wine,kharmonic_kmeans,0.6550561797752807,25,3,0.5,(0.6235138964881388, 0.6865984630624227)
wine,kharmonic_kmeans,0.6876404494382022,25,3,1,(0.6532145695321148, 0.7220663293442897)
wine,kharmonic_kmeans,0.7191011235955056,25,3,2,(nan, nan)
wine,kharmonic_kmeans,0.7191011235955056,25,3,3,(nan, nan)
wine,kharmonic_kmeans,0.7191011235955056,25,3,4,(nan, nan)
wine,kharmonic_kmeans,0.7191011235955056,25,3,5,(nan, nan)
wine,kharmonic_kmeans,0.7191011235955056,25,3,10,(nan, nan)
wine,kharmonic_kmeans,0.7191011235955056,25,3,11,(nan, nan)
wine,kharmonic_kmeans,0.7191011235955056,25,3,12,(nan, nan)
wine,kharmonic_kmeans,0.7191011235955056,25,3,13,(nan, nan)
wine,kharmonic_kmeans,0.7191011235955056,25,3,14,(nan, nan)
wine,kharmonic_kmeans,0.7191011235955056,25,3,15,(nan, nan)
wine,kharmonic_kmeans,0.7191011235955056,25,3,16,(nan, nan)
wine,kharmonic_kmeans,0.7191011235955056,25,3,17,(nan, nan)
wine,kharmonic_kmeans,0.7191011235955056,25,3,18,(nan, nan)
wine,kharmonic_kmeans,0.7191011235955056,25,3,19,(nan, nan)
wine,kharmonic_kmeans,0.7191011235955056,25,3,20,(nan, nan)
wine,kharmonic_kmeans,0.7191011235955056,25,3,50,(nan, nan)
wine,kharmonic_kmeans,0.7191011235955056,25,3,100,(nan, nan)
wine,kharmonic_kmeans,0.5348314606741573,50,3,0.1,(0.44527109744522597, 0.6243918239030887)
wine,kharmonic_kmeans,0.5370786516853931,50,3,0.5,(0.4524553953769623, 0.6217019079938241)
wine,kharmonic_kmeans,0.6258426966292135,50,3,1,(0.5378509941198552, 0.7138343991385719)
wine,kharmonic_kmeans,0.699438202247191,50,3,2,(0.65914926582593, 0.739727138668452)
wine,kharmonic_kmeans,0.7247191011235954,50,3,3,(0.7247191011235953, 0.7247191011235955)
wine,kharmonic_kmeans,0.7247191011235954,50,3,4,(0.7247191011235953, 0.7247191011235955)
wine,kharmonic_kmeans,0.7247191011235954,50,3,5,(0.7247191011235953, 0.7247191011235955)
wine,kharmonic_kmeans,0.7247191011235954,50,3,10,(0.7247191011235953, 0.7247191011235955)
wine,kharmonic_kmeans,0.7247191011235954,50,3,11,(0.7247191011235953, 0.7247191011235955)
wine,kharmonic_kmeans,0.7247191011235954,50,3,12,(0.7247191011235953, 0.7247191011235955)
wine,kharmonic_kmeans,0.7247191011235954,50,3,13,(0.7247191011235953, 0.7247191011235955)
wine,kharmonic_kmeans,0.7247191011235954,50,3,14,(0.7247191011235953, 0.7247191011235955)
wine,kharmonic_kmeans,0.7247191011235954,50,3,15,(0.7247191011235953, 0.7247191011235955)
wine,kharmonic_kmeans,0.7247191011235954,50,3,16,(0.7247191011235953, 0.7247191011235955)
wine,kharmonic_kmeans,0.7247191011235954,50,3,17,(0.7247191011235953, 0.7247191011235955)
wine,kharmonic_kmeans,0.7247191011235954,50,3,18,(0.7247191011235953, 0.7247191011235955)
wine,kharmonic_kmeans,0.7247191011235954,50,3,19,(0.7247191011235953, 0.7247191011235955)
wine,kharmonic_kmeans,0.7247191011235954,50,3,20,(0.7247191011235953, 0.7247191011235955)
wine,kharmonic_kmeans,0.7247191011235954,50,3,50,(0.7247191011235953, 0.7247191011235955)
wine,kharmonic_kmeans,0.7247191011235954,50,3,100,(0.7247191011235953, 0.7247191011235955)
wine,kharmonic_kmeans,0.4331460674157303,75,3,0.1,(0.3682207949230605, 0.49807133990840013)
wine,kharmonic_kmeans,0.4230337078651686,75,3,0.5,(0.3810520705274259, 0.46501534520291127)
wine,kharmonic_kmeans,0.46292134831460674,75,3,1,(0.38114527505195595, 0.5446974215772575)
wine,kharmonic_kmeans,0.5365168539325843,75,3,2,(0.4329364419900823, 0.6400972658750863)
wine,kharmonic_kmeans,0.6808988764044944,75,3,3,(0.6628462897144634, 0.6989514630945255)
wine,kharmonic_kmeans,0.6820224719101124,75,3,4,(0.6678199760056098, 0.6962249678146151)
wine,kharmonic_kmeans,0.7005617977528089,75,3,5,(0.6939853702275679, 0.7071382252780499)
wine,kharmonic_kmeans,0.698876404494382,75,3,10,(0.6925361669977428, 0.7052166419910213)
wine,kharmonic_kmeans,0.7,75,3,11,(0.6933827669486338, 0.7066172330513661)
wine,kharmonic_kmeans,0.698876404494382,75,3,12,(0.6925361669977428, 0.7052166419910213)
wine,kharmonic_kmeans,0.7011235955056179,75,3,13,(0.6955035756362346, 0.7067436153750012)
wine,kharmonic_kmeans,0.7,75,3,14,(0.6961174133212932, 0.7038825866787067)
wine,kharmonic_kmeans,0.6977528089887641,75,3,15,(0.6931902287861424, 0.7023153891913858)
wine,kharmonic_kmeans,0.7011235955056179,75,3,16,(0.6943455965161318, 0.7079015944951039)
wine,kharmonic_kmeans,0.698876404494382,75,3,17,(0.6937929052522674, 0.7039599037364966)
wine,kharmonic_kmeans,0.7022471910112359,75,3,18,(0.6954164441523679, 0.7090779378701039)
wine,kharmonic_kmeans,0.698876404494382,75,3,19,(0.6937929052522674, 0.7039599037364966)
wine,kharmonic_kmeans,0.6971910112359552,75,3,20,(0.6916838870569977, 0.7026981354149127)
wine,kharmonic_kmeans,0.6977528089887641,75,3,50,(0.6918220598729637, 0.7036835581045645)
wine,kharmonic_kmeans,0.6977528089887641,75,3,100,(0.6918220598729637, 0.7036835581045645)
wine,kharmonic_kmeans,0.43202247191011234,100,3,0.1,(0.37111911237566014, 0.49292583144456453)
wine,kharmonic_kmeans,0.4426966292134832,100,3,0.5,(0.38261352942320875, 0.5027797290037577)
wine,kharmonic_kmeans,0.4657303370786517,100,3,1,(0.39118077302983484, 0.5402799011274686)
wine,kharmonic_kmeans,0.4308988764044943,100,3,2,(0.368263956093026, 0.49353379671596265)
wine,kharmonic_kmeans,0.4556179775280899,100,3,3,(0.3801354311493511, 0.5311005239068287)
wine,kharmonic_kmeans,0.4859550561797752,100,3,4,(0.3911680890829254, 0.5807420232766249)
wine,kharmonic_kmeans,0.6702247191011236,100,3,5,(0.6478847786296901, 0.6925646595725571)
wine,kharmonic_kmeans,0.7146067415730337,100,3,10,(0.7129122418256622, 0.7163012413204053)
wine,kharmonic_kmeans,0.7146067415730337,100,3,11,(0.7129122418256622, 0.7163012413204053)
wine,kharmonic_kmeans,0.7151685393258427,100,3,12,(0.7132272459864892, 0.7171098326651961)
wine,kharmonic_kmeans,0.7146067415730337,100,3,13,(0.7129122418256622, 0.7163012413204053)
wine,kharmonic_kmeans,0.7157303370786516,100,3,14,(0.713655007203484, 0.7178056669538193)
wine,kharmonic_kmeans,0.7157303370786516,100,3,15,(0.713655007203484, 0.7178056669538193)
wine,kharmonic_kmeans,0.7174157303370786,100,3,16,(0.7154744369977252, 0.7193570236764321)
wine,kharmonic_kmeans,0.7162921348314606,100,3,17,(0.7141740101472461, 0.718410259515675)
wine,kharmonic_kmeans,0.7151685393258427,100,3,18,(0.7132272459864892, 0.7171098326651961)
wine,kharmonic_kmeans,0.7146067415730337,100,3,19,(0.7129122418256622, 0.7163012413204053)
wine,kharmonic_kmeans,0.7151685393258427,100,3,20,(0.7132272459864892, 0.7171098326651961)
wine,kharmonic_kmeans,0.7162921348314606,100,3,50,(0.7141740101472461, 0.718410259515675)
wine,kharmonic_kmeans,0.7140449438202248,100,3,100,(0.7127740690096961, 0.7153158186307534)
wine,kharmonic_kmeans,0.4191011235955056,125,3,0.1,(0.38314537218384076, 0.45505687500717046)
wine,kharmonic_kmeans,0.40674157303370784,125,3,0.5,(0.4039315630990161, 0.40955158296839955)
wine,kharmonic_kmeans,0.42191011235955056,125,3,1,(0.38246746846742397, 0.46135275625167715)
wine,kharmonic_kmeans,0.4393258426966292,125,3,2,(0.388852215873441, 0.48979946951981745)
wine,kharmonic_kmeans,0.4084269662921348,125,3,3,(0.4057144431914552, 0.4111394893928144)
wine,kharmonic_kmeans,0.46348314606741575,125,3,4,(0.39279361052133255, 0.534172681613499)
wine,kharmonic_kmeans,0.4882022471910113,125,3,5,(0.40745862300429436, 0.5689458713777282)
wine,kharmonic_kmeans,0.699438202247191,125,3,10,(0.6568117652386777, 0.7420646392557043)
wine,kharmonic_kmeans,0.6241573033707866,125,3,11,(0.5736250451433802, 0.6746895615981929)
wine,kharmonic_kmeans,0.699438202247191,125,3,12,(0.6568117652386777, 0.7420646392557043)
wine,kharmonic_kmeans,0.6910112359550562,125,3,13,(0.6401762435339103, 0.7418462283762021)
wine,kharmonic_kmeans,0.6994382022471911,125,3,14,(0.648207600805681, 0.7506688036887013)
wine,kharmonic_kmeans,0.699438202247191,125,3,15,(0.6568117652386777, 0.7420646392557043)
wine,kharmonic_kmeans,0.7078651685393258,125,3,16,(0.6570301761181799, 0.7587001609604717)
wine,kharmonic_kmeans,0.7005617977528091,125,3,17,(0.6509036304985791, 0.7502199650070391)
wine,kharmonic_kmeans,0.708426966292135,125,3,18,(0.6584302494456586, 0.7584236831386113)
wine,kharmonic_kmeans,0.7168539325842695,125,3,19,(0.6772863656639692, 0.7564214995045699)
wine,kharmonic_kmeans,0.7331460674157304,125,3,20,(0.7140829452578007, 0.7522091895736601)
wine,kharmonic_kmeans,0.7168539325842697,125,3,50,(0.6772863656639693, 0.75642149950457)
wine,kharmonic_kmeans,0.7252808988764047,125,3,100,(0.6884255293710739, 0.7621362683817354)
